"id","parent_id","usuario_id","tipo_sigo_id","tipo_marca_id","clase_id","pais_id","numero_solicitud","nombre","numero_registro","fecha_registro","numero_renovacion","numero_publicacion","numero_gaceta","fecha_publicacion","fecha_importacion","activo","valido","importado","activa","created_at","updated_at","anterior","propia"
10213,0,1,1,1,5,,,"GREEN DIET - 666","68626-C",03/11/1998,,"73280",,,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
10214,0,1,1,1,5,,,"HAIR & NAILS","64878-C",04/11/1997,,"69426",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10215,0,1,1,1,5,,,"MEMIFORT","65107-C",16/12/1997,,"69427",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10217,0,1,1,1,5,,,"MINICAL","64897-C",07/11/1997,,"69429",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10218,0,1,1,1,5,,,"NUTRACEUTICAL","64856-C",30/10/1997,,"69437",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10219,0,1,1,1,5,,"2544-1995","NUTRACEUTICAL UNA NUEVA CATEGORIA TERAPEUTICA","72850-C",25/05/1999,,"69430","1952",26/09/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10220,0,1,0,2,42,,,"NUTRAVIDA","73193-C",05/07/1999,,"72765",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10221,0,1,0,0,,,,"PILFOOD",,,,,,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10223,0,1,0,0,5,,,"PROSTCARE","71693-C",18/03/1999,,"77030",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10228,0,1,1,1,5,,,"VITAMIEL","64896-C",07/11/1997,,"69428",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10229,0,1,0,0,5,,,"VITAZOO",,,,"75421",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10230,0,1,3,0,42,,,"WORLD NUTRITION","73194-C",05/07/1999,,"72764",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10231,0,1,1,1,5,,"0456-1996","A VIMIN","63390-C",10/04/1997,"69962-A","67347","1948",09/09/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10233,0,1,1,1,5,,,"ACTIVAZUL","12320-C",05/09/1955,"65875-A","9112",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
16414,0,1,1,1,16,,"3313-2004","ENGLISH 2 GO","101883-C",09/01/2006,,"112053","2757",22/06/2005,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10234,0,1,1,1,5,,"0458-1995","AD VIMIN","63392-C",10/04/1997,"69963-A","67349","1948",09/09/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10235,0,1,1,1,5,,"3573","ADRACON","71995-C",25/03/1999,,"78779","2052",10/03/1998,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10236,0,1,1,1,5,,"0457-1995","AE VIMIN","63391-C",10/04/1997,"69964-A","67348","1948",09/09/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10237,0,1,1,1,5,,"3577","AFRANEX","71991-C",25/03/1999,,"78783","2052",10/03/1998,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10238,0,1,1,1,5,,"2178-1991","AJO PLUS","53798-C",02/10/1992,,"55761","1741",05/08/1992,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10239,0,1,1,1,5,,"2225-1991","AJO PLUS DR.MANN","53800-C",02/10/1992,,"55808","1741",05/08/1992,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10240,0,1,1,1,5,,,"ALGIFENO","29293-C",09/04/1974,"67789-A","26767",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10241,0,1,1,1,5,,,"ALTODOR",,,,"66520","1936",31/05/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10242,0,1,1,1,5,,,"ALUMAG","29289-C",09/04/1974,"67988-A","26045",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10243,0,1,1,1,5,,,"AMEBIN INTI","37364-C",12/06/1980,"57430-A","38288",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10244,0,1,1,1,5,,,"AMINO-HEPAT","34931-C",23/06/1978,"73780-A","34832",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10245,0,1,1,1,5,,"0747-1993","ANGIDOL","57578-C",18/11/1994,"67945-A","60311","1843",08/09/1994,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
